"","X","x"
"59",69,"https://www.cancer.org/treatment/treatments-and-side-effects.html"
"60",70,"https://www.cancer.org/research/cancer-facts-statistics.html"
"61",71,"https://www.cancer.org/latest-news.html"
"62",72,"https://www.cancer.org/cancer/glossary.html"
"63",73,"https://www.cancer.org/health-care-professionals.html"
"64",74,"https://www.cancer.org/treatment/support-programs-and-services/reach-to-recovery.html"
"65",75,"http://www.tlcdirect.org/"
"66",76,"https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge.html"
"67",77,"https://www.cancer.org/treatment/support-programs-and-services/road-to-recovery.html"
"68",78,"https://www.cancer.org/treatment/support-programs-and-services/online-communities.html"
"69",79,"https://www.cancer.org/treatment/support-programs-and-services/look-good-feel-better.html"
"70",80,"http://makingstrides.acsevents.org"
"71",81,"http://relay.acsevents.org"
"72",82,"http://campus.relayforlife.org/"
"73",83,"https://www.cancer.org/involved/fundraise/coaches-vs-cancer.html"
"74",84,"https://www.cancer.org/involved/fundraise/galas.html"
"75",85,"https://www.cancer.org/involved/donate.html"
"76",86,"https://www.cancer.org/involved/donate/memorial-giving.html"
"77",87,"https://www.cancer.org/involved/donate/planned-giving.html"
"78",88,"https://www.cancer.org/involved/donate/leadership-giving.html"
"79",89,"https://www.cancer.org/involved/donate/more-ways-to-give/cars-for-a-cure.html"
"80",90,"https://www.cancer.org/about-us/online-help/contact-us.html"
"81",91,"https://www.cancer.org/about-us/local.html"
"82",92,"https://www.cancer.org/about-us/employment-opportunities.html"
"83",93,"https://www.cancer.org/about-us/become-a-supplier.html"
"84",94,"https://www.cancer.org/about-us/financial-governance-information/report-fraud-or-abuse.html"
"85",95,"https://www.cancer.org/health-care-professionals/our-global-health-work.html"
"86",96,"https://www.acscan.org"
"87",97,"https://www.cancer.org/about-us/email-and-enewsletter-sign-up/enewsletter-sign-up.html"
"88",98,"https://www.cancer.org/about-us/policies.html"
"89",99,"https://www.cancer.org/involved/volunteer.html"
"90",100,"https://www.cancer.org/american-cancer-society-books.html"
"91",101,"http://shop.cancer.org/"
"92",102,"http://canceratlas.cancer.org/"
"93",103,"http://pressroom.cancer.org/"
"94",104,"http://cancerstatisticscenter.cancer.org"
"95",105,"https://volunteerlearning.cancer.org/"
"96",106,"https://twitter.com/americancancer"
"97",107,"https://www.facebook.com/AmericanCancerSociety"
"98",108,"https://www.instagram.com/americancancersociety/"
"99",109,"tel:800.227.2345"
"100",110,"https://livechat.boldchat.com/aid/5386287375352862963/bc.chat?resize=true&cwdid=1134019502191338137"
"101",111,"https://twitter.com/americancancer"
"102",112,"https://www.facebook.com/AmericanCancerSociety"
"103",113,"https://www.instagram.com/americancancersociety/"
"104",114,"https://www.cancer.org/about-us/online-help.html"
"105",115,"https://www.cancer.org/sitemap.html"
"106",116,"https://www.cancer.org/about-us/policies/privacy-statement.html"
"107",117,"https://www.cancer.org/about-us/policies/accessibility-policy.html"
"108",118,"https://www.cancer.org/about-us/policies/user-agreement.html"
"109",119,"https://www.cancer.org/about-us/policies/state-fundraising-notices.html"
"110",123,"https://www.cancer.org/modalCarousel"
"111",124,"https://www.cancer.org/modalCarousel"
"112",128,"https://www.cancer.org/50"
"113",129,"https://www.cancer.org/75"
"114",130,"https://www.cancer.org/125"
"115",131,"https://donate3.cancer.org/?campaign=eoycampaign2018"
